,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
11226,40,0.64,0.02,0.0,0.0,2.0,13,0.41747006202418385
38715,80,0.32,0.2,0.02,0.2,0.2,13,0.372125273269835
16646,50,0.32,0.02,0.0,0.2,0.2,3,0.37829103605773934
65348,120,0.16,0.02,2.0,0.02,2.0,9,0.43066066543287834
50549,100,0.16,0.0,2.0,0.02,0.02,7,0.22244429661822124
62712,110,0.64,2.0,2.0,2.0,0.2,15,0.40309124399375557
42056,80,1.28,0.02,2.0,0.2,0.0,3,0.30700725815466995
21179,50,1.28,2.0,0.02,0.0,0.02,11,0.23544418321573263
44501,90,0.16,2.0,0.02,0.02,0.02,7,0.2632138954833784
67114,120,0.32,0.02,2.0,0.0,2.0,13,0.4030300093923389
59787,110,0.32,0.02,0.02,2.0,0.02,3,0.3779656415223352
42082,80,1.28,0.02,2.0,0.2,2.0,13,0.4007550062093764
6367,30,1.28,0.2,0.0,2.0,0.02,11,0.4116866678479747
66609,120,0.32,0.0,0.2,0.2,2.0,11,0.4077979002210754
61292,110,0.64,0.0,2.0,0.02,0.0,3,0.258726398017088
51175,100,0.16,0.2,0.0,2.0,0.2,13,0.3608691869722596
62374,110,0.64,2.0,0.0,2.0,0.2,11,0.4049864241718231
62845,110,1.28,0.0,0.02,0.0,0.02,15,0.24054399301156798
58114,110,0.16,0.02,0.2,2.0,0.2,3,0.32872279242934965
40094,80,0.64,0.02,0.02,2.0,2.0,13,0.4084431740914731
3210,30,0.32,2.0,0.0,0.2,0.2,11,0.3902469762961221
58146,110,0.16,0.02,2.0,0.0,0.2,11,0.3298593552266751
58271,110,0.16,0.2,0.0,0.02,0.0,9,0.2426040395193363
12017,40,0.64,0.2,2.0,0.02,0.0,13,0.22452073961113336
62245,110,0.64,0.2,2.0,2.0,0.0,5,0.2591047693684832
26260,60,0.64,0.2,0.2,0.02,2.0,9,0.41064151894877005
5659,30,1.28,0.0,0.2,0.2,0.0,9,0.24880829329835788
66606,120,0.32,0.0,0.2,0.2,2.0,5,0.39504157325459305
13689,40,1.28,0.2,0.2,0.0,2.0,11,0.4152943263310221
6721,30,1.28,2.0,0.0,0.0,0.0,5,0.28612674555523454
39623,80,0.64,0.0,0.02,2.0,0.0,9,0.23368349929122229
38043,80,0.32,0.0,2.0,0.2,0.2,13,0.40913574084969545
69838,120,0.64,2.0,2.0,0.2,0.0,15,0.38249690161741867
2598,30,0.32,0.02,2.0,0.0,2.0,5,0.39820427922030244
21010,50,1.28,0.2,2.0,0.2,0.02,9,0.4164922105751689
32917,70,0.64,0.02,0.02,2.0,0.2,9,0.4200305862778134
20856,50,1.28,0.2,0.2,0.0,2.0,9,0.4199899190615069
21108,50,1.28,2.0,0.0,0.02,2.0,9,0.4154505895443194
65550,120,0.16,0.2,0.02,0.02,0.0,7,0.17097614747740508
65781,120,0.16,0.2,2.0,0.02,0.02,7,0.23756343224589846
24848,60,0.32,2.0,0.02,2.0,0.02,13,0.3339037536392021
7763,40,0.16,0.02,0.02,0.02,0.02,3,0.19630823586212942
25958,60,0.64,0.02,2.0,2.0,0.0,7,0.2296889937572268
4174,30,0.64,0.02,0.02,0.02,0.0,7,0.21869243007000141
8967,40,0.32,0.0,0.0,0.0,0.02,3,0.2132276712061166
5032,30,0.64,2.0,0.0,2.0,0.2,15,0.32725483887192186
22880,60,0.16,2.0,0.0,0.02,0.0,11,0.23767295954424678
58099,110,0.16,0.02,0.2,0.2,2.0,15,0.3970958055627114
23542,60,0.32,0.0,0.2,0.0,2.0,5,0.4011951160016534
37797,80,0.32,0.0,0.02,0.02,2.0,11,0.4067245620545362
6422,30,1.28,0.2,0.02,0.02,0.02,9,0.319468147521013
35212,70,1.28,0.2,0.2,0.02,0.2,7,0.44648681412048663
16928,50,0.32,0.02,2.0,0.0,0.2,7,0.36280789976857064
61747,110,0.64,0.02,2.0,0.02,0.02,3,0.29605761901498595
1562,30,0.16,2.0,0.02,2.0,2.0,5,0.3914139394479318
57913,110,0.16,0.02,0.02,0.0,0.02,7,0.19375112548387094
49909,90,1.28,2.0,0.02,0.2,0.02,15,0.4397738874557309
12792,40,1.28,0.0,0.2,0.0,2.0,9,0.42585726489555487
52587,100,0.32,0.02,0.02,0.2,0.0,9,0.2443259055286542
14514,50,0.16,0.0,0.02,0.2,0.02,9,0.24673102321800128
28991,70,0.16,0.0,0.2,2.0,0.02,11,0.3325000847120399
45512,90,0.32,0.02,0.2,0.02,0.02,13,0.28413747464545314
15759,50,0.16,2.0,0.0,0.2,2.0,7,0.40098448576818524
43790,90,0.16,0.02,0.2,2.0,2.0,13,0.3864201094422046
48817,90,1.28,0.0,2.0,2.0,0.02,15,0.4493326306768095
30064,70,0.16,2.0,0.0,0.02,0.2,15,0.3742729768234904
7664,40,0.16,0.02,0.0,0.02,0.2,15,0.26497628321792227
16216,50,0.32,0.0,0.0,2.0,0.0,11,0.1829456590791143
49805,90,1.28,2.0,0.0,0.2,2.0,3,0.40294766758395895
70779,120,1.28,0.02,2.0,2.0,2.0,7,0.3968674996707961
52425,100,0.32,0.02,0.0,0.0,0.02,7,0.19445569699203874
62903,110,1.28,0.0,0.02,0.2,0.2,5,0.4127232593117646
48348,90,0.64,2.0,2.0,0.2,0.2,15,0.34059883239357386
14934,50,0.16,0.02,0.02,0.02,0.02,9,0.1985912271594737
54352,100,0.64,0.02,0.02,0.02,0.0,11,0.26669040934722693
36733,80,0.16,0.02,2.0,2.0,2.0,11,0.3913257584537979
47280,90,0.64,0.02,0.2,0.0,0.2,7,0.2824767831060942
1179,30,0.16,0.2,0.2,0.2,0.0,9,0.38921818651402323
3782,30,0.64,0.0,0.02,2.0,0.0,7,0.2305957342310842
22256,60,0.16,0.02,0.2,0.2,2.0,9,0.4054964530632426
46929,90,0.64,0.0,2.0,0.0,0.0,5,0.16621102950591582
36630,80,0.16,0.02,2.0,0.0,0.0,15,0.215078201626701
