,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE,AUPR
105,10.0,0.16,0.02,0.2,0.2,0.02,231.51680965177846,0.3068276850034237
106,10.0,0.16,0.02,0.2,0.2,0.2,239.2588947418275,0.3020458706534182
107,10.0,0.16,0.02,0.2,0.2,2.0,238.93295720309916,0.35218246359506994
108,10.0,0.16,0.02,0.2,2.0,0.0,247.78927053744698,0.3257712204978308
109,10.0,0.16,0.02,0.2,2.0,0.02,228.62088519864983,0.34752100926514884
110,10.0,0.16,0.02,0.2,2.0,0.2,232.87280605480504,0.30123692537387897
111,10.0,0.16,0.02,0.2,2.0,2.0,228.38951639859832,0.3454236341509602
112,10.0,0.16,0.02,2.0,0.0,0.0,237.12856194352847,0.3175706310066916
113,10.0,0.16,0.02,2.0,0.0,0.02,232.2564023242968,0.29810436423691
114,10.0,0.16,0.02,2.0,0.0,0.2,232.10605679842442,0.3151295248674882
115,10.0,0.16,0.02,2.0,0.0,2.0,222.1101751921257,0.33969085489267564
116,10.0,0.16,0.02,2.0,0.02,0.0,225.30559175388316,0.3324814980769537
117,10.0,0.16,0.02,2.0,0.02,0.02,220.30880680717945,0.35134758668763016
118,10.0,0.16,0.02,2.0,0.02,0.2,231.57973403577668,0.3194708952305132
119,10.0,0.16,0.02,2.0,0.02,2.0,226.7370091775649,0.3714896202793059
120,10.0,0.16,0.02,2.0,0.2,0.0,229.28497590089376,0.30664904844246693
121,10.0,0.16,0.02,2.0,0.2,0.02,240.16084995665818,0.3329152054496965
122,10.0,0.16,0.02,2.0,0.2,0.2,221.37076479603093,0.3221035510398941
123,10.0,0.16,0.02,2.0,0.2,2.0,225.0614871653069,0.3350982065136556
124,10.0,0.16,0.02,2.0,2.0,0.0,221.5039727011277,0.3185122540795399
125,10.0,0.16,0.02,2.0,2.0,0.02,228.60475141057412,0.3118026551548698
126,10.0,0.16,0.02,2.0,2.0,0.2,227.52470643025575,0.3417748986798551
127,10.0,0.16,0.02,2.0,2.0,2.0,230.72757648425141,0.32716187596018703
128,10.0,0.16,0.2,0.0,0.0,0.0,233.41130059324607,
129,10.0,0.16,0.2,0.0,0.0,0.02,238.79623714195304,0.32985210603137344
