,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE
100,10.0,0.16,0.02,0.2,0.02,0.0,257.18578111872347
101,10.0,0.16,0.02,0.2,0.02,0.02,261.68957934926743
102,10.0,0.16,0.02,0.2,0.02,0.2,251.9411291180216
103,10.0,0.16,0.02,0.2,0.02,2.0,268.3785780886244
104,10.0,0.16,0.02,0.2,0.2,0.0,262.2413135225925
105,10.0,0.16,0.02,0.2,0.2,0.02,256.276223197737
106,10.0,0.16,0.02,0.2,0.2,0.2,259.3796105967891
107,10.0,0.16,0.02,0.2,0.2,2.0,250.37082034608207
108,10.0,0.16,0.02,0.2,2.0,0.0,262.1923362401852
109,10.0,0.16,0.02,0.2,2.0,0.02,256.6796283101672
110,10.0,0.16,0.02,0.2,2.0,0.2,258.05447843201506
111,10.0,0.16,0.02,0.2,2.0,2.0,253.20538463034265
112,10.0,0.16,0.02,2.0,0.0,0.0,266.3829555375095
113,10.0,0.16,0.02,2.0,0.0,0.02,256.56972287184226
114,10.0,0.16,0.02,2.0,0.0,0.2,252.27014325757992
115,10.0,0.16,0.02,2.0,0.0,2.0,255.85477470421017
116,10.0,0.16,0.02,2.0,0.02,0.0,255.93776515764839
117,10.0,0.16,0.02,2.0,0.02,0.02,252.3704114811104
118,10.0,0.16,0.02,2.0,0.02,0.2,264.5925284484163
119,10.0,0.16,0.02,2.0,0.02,2.0,252.68084580082336
120,10.0,0.16,0.02,2.0,0.2,0.0,243.87798924392655
121,10.0,0.16,0.02,2.0,0.2,0.02,261.7960544198228
122,10.0,0.16,0.02,2.0,0.2,0.2,251.42210471094086
123,10.0,0.16,0.02,2.0,0.2,2.0,258.90073854013093
124,10.0,0.16,0.02,2.0,2.0,0.0,256.02292975761475
125,10.0,0.16,0.02,2.0,2.0,0.02,266.2184750800335
126,10.0,0.16,0.02,2.0,2.0,0.2,259.5925949930751
127,10.0,0.16,0.02,2.0,2.0,2.0,261.3332278369687
128,10.0,0.16,0.2,0.0,0.0,0.0,261.0250244872739
129,10.0,0.16,0.2,0.0,0.0,0.02,251.01471992409168
130,10.0,0.16,0.2,0.0,0.0,0.2,248.46234753589653
131,10.0,0.16,0.2,0.0,0.0,2.0,255.4850345662024
132,10.0,0.16,0.2,0.0,0.02,0.0,260.1257081365289
133,10.0,0.16,0.2,0.0,0.02,0.02,266.0284530606232
134,10.0,0.16,0.2,0.0,0.02,0.2,264.80015075355305
135,10.0,0.16,0.2,0.0,0.02,2.0,250.8647252447292
136,10.0,0.16,0.2,0.0,0.2,0.0,262.7996982444219
137,10.0,0.16,0.2,0.0,0.2,0.02,254.1198861835248
138,10.0,0.16,0.2,0.0,0.2,0.2,251.84623667643865
139,10.0,0.16,0.2,0.0,0.2,2.0,257.4830684696074
140,10.0,0.16,0.2,0.0,2.0,0.0,251.96173896493943
141,10.0,0.16,0.2,0.0,2.0,0.02,250.40579884066346
142,10.0,0.16,0.2,0.0,2.0,0.2,260.27317479051015
143,10.0,0.16,0.2,0.0,2.0,2.0,261.4367002530319
144,10.0,0.16,0.2,0.02,0.0,0.0,249.14266369110734
145,10.0,0.16,0.2,0.02,0.0,0.02,251.655230456474
146,10.0,0.16,0.2,0.02,0.0,0.2,254.5137668501088
147,10.0,0.16,0.2,0.02,0.0,2.0,259.30891747578744
148,10.0,0.16,0.2,0.02,0.02,0.0,259.08875751554905
149,10.0,0.16,0.2,0.02,0.02,0.02,252.30219218241413
150,10.0,0.16,0.2,0.02,0.02,0.2,264.63272711100313
151,10.0,0.16,0.2,0.02,0.02,2.0,251.05155061243755
152,10.0,0.16,0.2,0.02,0.2,0.0,258.117239130496
153,10.0,0.16,0.2,0.02,0.2,0.02,264.1746700962339
154,10.0,0.16,0.2,0.02,0.2,0.2,249.79956655575802
155,10.0,0.16,0.2,0.02,0.2,2.0,245.00673254625968
156,10.0,0.16,0.2,0.02,2.0,0.0,267.458997676622
157,10.0,0.16,0.2,0.02,2.0,0.02,258.46176247182444
158,10.0,0.16,0.2,0.02,2.0,0.2,259.0309486887085
159,10.0,0.16,0.2,0.02,2.0,2.0,258.0322815591788
160,10.0,0.16,0.2,0.2,0.0,0.0,249.873788726192
161,10.0,0.16,0.2,0.2,0.0,0.02,257.40872292082724
