,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
8819,90.0,0.64,0.02,2.0,0.0,2.0,0.3443810770740705
2481,30.0,0.32,0.2,2.0,0.0,0.02,0.4234996600548647
1006,10.0,1.28,2.0,0.2,2.0,0.2,0.3412057751849738
2299,30.0,0.16,2.0,2.0,0.2,2.0,0.3051730310141463
5157,60.0,0.16,0.0,0.2,0.02,0.02,0.4146885730467109
798,10.0,1.28,0.0,0.02,2.0,0.2,0.350930328763291
3997,40.0,1.28,0.2,0.02,2.0,0.02,0.418098905792057
2985,30.0,1.28,0.2,0.2,0.2,0.02,0.40792907224783337
7349,80.0,0.16,0.2,2.0,0.02,0.02,0.41654113976252527
3144,40.0,0.16,0.02,0.0,0.2,0.0,0.41590266794464575
7654,80.0,0.32,2.0,0.2,0.02,0.2,0.4004967495670045
2832,30.0,1.28,0.0,0.02,0.0,0.0,0.3976969067177565
3180,40.0,0.16,0.02,0.2,2.0,0.0,0.4147752227216651
3464,40.0,0.32,0.2,0.0,0.2,0.0,0.42361237473206836
4139,50.0,0.16,0.0,0.2,0.2,2.0,0.3027798767085136
3748,40.0,0.64,0.2,0.2,0.02,0.0,0.42703211850172995
1932,20.0,1.28,0.2,0.0,2.0,0.0,0.4059448446333047
917,10.0,1.28,0.2,0.02,0.02,0.02,0.39912677015059717
4954,50.0,1.28,0.02,0.02,0.2,0.2,0.4065350849533098
7965,80.0,1.28,0.0,0.02,2.0,0.02,0.40806682371717173
8921,90.0,0.64,2.0,0.02,0.2,0.02,0.3830666094144019
2637,30.0,0.64,0.02,0.0,2.0,0.02,0.4184301144538688
4527,50.0,0.32,0.2,0.2,2.0,2.0,0.3103124436660469
1921,20.0,1.28,0.2,0.0,0.0,0.02,0.39311477151294905
7126,70.0,1.28,2.0,0.02,0.02,0.2,0.3963542169323246
1459,20.0,0.32,0.2,2.0,0.0,2.0,0.39721359389047
5055,50.0,1.28,0.2,2.0,2.0,2.0,0.31022046293233646
2392,30.0,0.32,0.02,0.02,0.2,0.0,0.41032286201279083
5352,60.0,0.16,2.0,0.2,0.2,0.0,0.40101291472223544
1554,20.0,0.64,0.0,0.02,0.0,0.2,0.4111710799377421
5080,50.0,1.28,2.0,0.02,0.2,0.0,0.39456335282534016
2457,30.0,0.32,0.2,0.02,0.2,0.02,0.41467746056303945
5460,60.0,0.32,0.02,0.02,0.02,0.0,0.4204621486112809
2986,30.0,1.28,0.2,0.2,0.2,0.2,0.37634948068400115
8646,90.0,0.32,2.0,0.0,0.02,0.2,0.408301580601207
8820,90.0,0.64,0.02,2.0,0.02,0.0,0.4182587324539607
3587,40.0,0.64,0.0,0.0,0.0,2.0,0.40421348451759276
5429,60.0,0.32,0.0,2.0,0.02,0.02,0.4195644773397328
3145,40.0,0.16,0.02,0.0,0.2,0.02,0.3898184868608999
8282,90.0,0.16,0.02,0.02,0.2,0.2,0.38381644830373784
677,10.0,0.64,0.2,0.2,0.02,0.02,0.4090473064694224
3043,30.0,1.28,2.0,0.2,0.0,2.0,0.39473402013109987
7967,80.0,1.28,0.0,0.02,2.0,2.0,0.3024977490704648
7799,80.0,0.64,0.02,2.0,0.02,2.0,0.33189890252825355
4435,50.0,0.32,0.02,0.02,0.0,2.0,0.4296031333459881
7135,70.0,1.28,2.0,0.02,2.0,2.0,0.30108903445225443
7367,80.0,0.16,2.0,0.0,0.02,2.0,0.3316557810923063
1880,20.0,1.28,0.02,0.02,0.2,0.0,0.4048897594736439
3446,40.0,0.32,0.02,2.0,0.02,0.2,0.42270278896720914
7509,80.0,0.32,0.02,0.02,0.02,0.02,0.41794610199458665
5682,60.0,0.64,0.0,2.0,0.0,0.2,0.4204730665530535
5203,60.0,0.16,0.02,0.02,0.0,2.0,0.4231221978568042
9177,90.0,1.28,2.0,0.02,0.2,0.02,0.4082350096650552
8767,90.0,0.64,0.0,2.0,2.0,2.0,0.3122047511259559
4159,50.0,0.16,0.0,2.0,2.0,2.0,0.2729526194032905
5084,50.0,1.28,2.0,0.02,2.0,0.0,0.3623070816206358
3334,40.0,0.32,0.0,0.0,0.02,0.2,0.41630567077783
5719,60.0,0.64,0.02,0.02,0.02,2.0,0.37833688607970384
6385,70.0,0.16,2.0,2.0,0.0,0.02,0.41893044867492146
7144,70.0,1.28,2.0,0.2,0.2,0.0,0.4128818127309032
5443,60.0,0.32,0.02,0.0,0.0,2.0,0.41157174112328504
2286,30.0,0.16,2.0,0.2,2.0,0.2,0.30888544703798654
3213,40.0,0.16,0.2,0.0,2.0,0.02,0.36757830259867924
2429,30.0,0.32,0.02,2.0,2.0,0.02,0.4068526330767631
3233,40.0,0.16,0.2,0.2,0.0,0.02,0.443275275199812
3566,40.0,0.32,2.0,0.2,2.0,0.2,0.32988810956324366
3603,40.0,0.64,0.0,0.02,0.0,2.0,0.41587814954398433
6961,70.0,1.28,0.0,2.0,0.0,0.02,0.42770394036441417
3174,40.0,0.16,0.02,0.2,0.02,0.2,0.4132172322303985
5902,60.0,1.28,0.0,0.0,2.0,0.2,0.35960573001557095
5067,50.0,1.28,2.0,0.0,0.2,2.0,0.32524100015999646
364,10.0,0.32,0.02,0.2,2.0,0.0,0.37491031022398746
2301,30.0,0.16,2.0,2.0,2.0,0.02,0.34501218133523365
658,10.0,0.64,0.2,0.02,0.0,0.2,0.39652548018884093
4248,50.0,0.16,0.2,0.02,0.2,0.0,0.4103581118764043
7256,80.0,0.16,0.02,0.02,0.2,0.0,0.41359987775897344
6328,70.0,0.16,0.2,2.0,0.2,0.0,0.4077530710683746
866,10.0,1.28,0.02,0.2,0.0,0.2,0.4080357275011105
7176,80.0,0.16,0.0,0.0,0.2,0.0,0.4194460767912581
4377,50.0,0.32,0.0,0.02,0.2,0.02,0.4186937759740423
372,10.0,0.32,0.02,2.0,0.02,0.0,0.4006255300359152
5571,60.0,0.32,2.0,0.0,0.0,2.0,0.41773094205053846
6214,70.0,0.16,0.02,0.0,0.02,0.2,0.40729211693977174
2786,30.0,0.64,2.0,0.2,0.0,0.2,0.4092263904059192
6439,70.0,0.32,0.0,0.2,0.02,2.0,0.3587255935918465
1634,20.0,0.64,0.02,0.2,0.0,0.2,0.39826191863268356
6420,70.0,0.32,0.0,0.02,0.02,0.0,0.41914061168361955
8886,90.0,0.64,0.2,2.0,0.02,0.2,0.41517619846144627
410,10.0,0.32,0.2,0.02,0.2,0.2,0.37634831984650524
8765,90.0,0.64,0.0,2.0,2.0,0.02,0.41614749320085276
1488,20.0,0.32,2.0,0.02,0.0,0.0,0.4391770961588646
2096,30.0,0.16,0.0,2.0,0.0,0.0,0.41390541717491985
3485,40.0,0.32,0.2,0.02,2.0,0.02,0.4027796217039337
3109,40.0,0.16,0.0,0.2,0.02,0.02,0.42477298495803606
551,10.0,0.64,0.0,0.2,0.02,2.0,0.36912465982850023
3402,40.0,0.32,0.02,0.0,0.2,0.2,0.3923024221155639
4786,50.0,0.64,0.2,2.0,0.0,0.2,0.42042791727446394
5554,60.0,0.32,0.2,2.0,0.0,0.2,0.4364070605999653
460,10.0,0.32,2.0,0.0,2.0,0.0,0.3810198020401343
6532,70.0,0.32,0.2,0.0,0.02,0.0,0.4199820691376662
4155,50.0,0.16,0.0,2.0,0.2,2.0,0.3216559621057927
1090,20.0,0.16,0.02,0.0,0.0,0.2,0.4269267440104489
6848,70.0,0.64,2.0,0.0,0.0,0.0,0.4026643215070191
7365,80.0,0.16,2.0,0.0,0.02,0.02,0.40585067402411323
8058,80.0,1.28,0.02,2.0,0.2,0.2,0.39019351136679475
2118,30.0,0.16,0.02,0.0,0.02,0.2,0.3966195522073328
7802,80.0,0.64,0.02,2.0,0.2,0.2,0.39679351925203976
9089,90.0,1.28,0.2,0.0,0.0,0.02,0.4060902175435315
7233,80.0,0.16,0.02,0.0,0.0,0.02,0.4125535656976799
5091,50.0,1.28,2.0,0.2,0.0,2.0,0.37045132308381157
7059,70.0,1.28,0.2,0.02,0.0,2.0,0.39532435663593707
5582,60.0,0.32,2.0,0.0,2.0,0.2,0.31054289981087113
4496,50.0,0.32,0.2,0.02,0.0,0.0,0.42067295944600297
5496,60.0,0.32,0.02,2.0,0.2,0.0,0.4110233049066577
9070,90.0,1.28,0.02,0.2,2.0,0.2,0.3290325949664904
6997,70.0,1.28,0.02,0.02,0.02,0.02,0.4277783755834405
541,10.0,0.64,0.0,0.02,2.0,0.02,0.36758616841451225
489,10.0,0.32,2.0,0.2,0.2,0.02,0.40578300529070493
6392,70.0,0.16,2.0,2.0,0.2,0.0,0.39480483387558746
2202,30.0,0.16,0.2,0.02,0.2,0.2,0.38448076413394827
2548,30.0,0.32,2.0,2.0,0.02,0.0,0.42795276142377536
2805,30.0,0.64,2.0,2.0,0.02,0.02,0.4136819973754068
8106,80.0,1.28,0.2,0.2,0.2,0.2,0.3814677540686656
8101,80.0,1.28,0.2,0.2,0.02,0.02,0.4273001670218563
7886,80.0,0.64,2.0,0.0,2.0,0.2,0.3234701558509971
4626,50.0,0.64,0.0,0.02,0.0,0.2,0.4127082842909655
4429,50.0,0.32,0.02,0.0,2.0,0.02,0.40675311140585846
8580,90.0,0.32,0.2,0.0,0.02,0.0,0.40967174557741126
6797,70.0,0.64,0.2,0.0,2.0,0.02,0.40804825102679537
5136,60.0,0.16,0.0,0.02,0.0,0.0,0.43699785589898077
4922,50.0,1.28,0.0,2.0,0.2,0.2,0.39149459770894746
4375,50.0,0.32,0.0,0.02,0.02,2.0,0.37131803699676813
6054,60.0,1.28,0.2,0.2,0.02,0.2,0.40607771377540286
2831,30.0,1.28,0.0,0.0,2.0,2.0,0.3037391022098717
2425,30.0,0.32,0.02,2.0,0.2,0.02,0.41560442497050964
9198,90.0,1.28,2.0,0.2,2.0,0.2,0.31740428911627105
781,10.0,1.28,0.0,0.0,2.0,0.02,0.40998062243346756
5806,60.0,0.64,0.2,0.2,2.0,0.2,0.3725646262198904
3831,40.0,0.64,2.0,2.0,0.02,2.0,0.3588473921780766
5510,60.0,0.32,0.2,0.0,0.02,0.2,0.4123853946500359
4669,50.0,0.64,0.0,2.0,2.0,0.02,0.415709001006085
6269,70.0,0.16,0.02,2.0,2.0,0.02,0.38438830306908756
3865,40.0,1.28,0.0,0.02,0.2,0.02,0.42790055175479397
923,10.0,1.28,0.2,0.02,0.2,2.0,0.32643924483843567
1588,20.0,0.64,0.0,2.0,0.02,0.0,0.41266821173137463
7182,80.0,0.16,0.0,0.0,2.0,0.2,0.3377452760723906
2597,30.0,0.64,0.0,0.2,0.02,0.02,0.417388543028748
1319,20.0,0.32,0.0,0.2,0.02,2.0,0.3878516245938381
8528,90.0,0.32,0.02,0.02,0.0,0.0,0.4216491058898854
2247,30.0,0.16,2.0,0.0,0.02,2.0,0.36632375143345997
7387,80.0,0.16,2.0,0.02,0.2,2.0,0.2974600863759103
1788,20.0,0.64,2.0,2.0,2.0,0.0,0.37023825715624215
4693,50.0,0.64,0.02,0.02,0.02,0.02,0.4161985273067325
8601,90.0,0.32,0.2,0.02,0.2,0.02,0.41465128497467474
1689,20.0,0.64,0.2,0.02,0.2,0.02,0.4185083498391847
6212,70.0,0.16,0.02,0.0,0.02,0.0,0.41558408037165506
2191,30.0,0.16,0.2,0.0,2.0,2.0,0.2769452563063542
8995,90.0,1.28,0.0,0.2,0.0,2.0,0.377937880025216
2904,30.0,1.28,0.02,0.02,0.2,0.0,0.3913270071243831
7284,80.0,0.16,0.02,2.0,0.02,0.0,0.4190785120951401
369,10.0,0.32,0.02,2.0,0.0,0.02,0.4252275825571287
1026,20.0,0.16,0.0,0.0,0.0,0.2,0.42479715664195883
6809,70.0,0.64,0.2,0.02,0.2,0.02,0.4211287639225408
2417,30.0,0.32,0.02,2.0,0.0,0.02,0.43992582270129016
5333,60.0,0.16,2.0,0.02,0.02,0.02,0.4227750087881742
740,10.0,0.64,2.0,0.2,0.02,0.0,0.415556981647446
7887,80.0,0.64,2.0,0.0,2.0,2.0,0.3203425606693399
2777,30.0,0.64,2.0,0.02,0.2,0.02,0.4045404170682151
8295,90.0,0.16,0.02,0.2,0.02,2.0,0.34955539342655934
